User ID	User Name	Run Count	Item ID	Manufactur Name	Item Name	Category #	Category Name	Occasion	Occason Name	Color #	Color	Price	Retailer	Like #	Like
0H2Q1lNwGZ	0	6	6sqGu76BU2	Joes Jeans	Lightweight Moto Jacket	4	coats & jackets	1	Casual	11	Gray	215	Bloomingdales	0	Dislike
0H2Q1lNwGZ	0	6	NXpriOrC4p	Cotton On	Chambray Shirt	1	Shirts	1	Casual	5	Blue	20	Cottonon	0	Dislike
0H2Q1lNwGZ	0	6	YjVEgBF9sk	Olivers Apparel	All Over Short	6	Bottoms	1	Casual	10	Black	68	Oliver apparrel	0	Dislike
0H2Q1lNwGZ	0	6	oWblUI70Kk	Society 6	Carpe T-Shirt	5	T-shirts	1	Casual	11	Gray	22	Society6	0	Dislike
0H2Q1lNwGZ	0	6	CUShLLNUoM	Topman	Jacquard Tuxedo Jacket	4	coats & jackets	2	Dressy	10	Black	250	Nordstrom	0	Dislike
0H2Q1lNwGZ	0	6	79AoDv6QHP	Casio	Protrek PRW6000Y Watch	13	Watch	4	Accessories	10	Black	560	Amazon	0	Dislike
0H2Q1lNwGZ	0	6	WCsGmucW6n	Supply and Vans	Chima Pro S Blue	10	Casual Shoes	1	Casual	5	Blue	110	supplystore	0	Dislike
0H2Q1lNwGZ	0	6	rWsGr8dwBz	Kanye West	Glow In The Dark Tour Book	18	House	6	Home & Office	10	Black	36	Amazon	0	Dislike
0H2Q1lNwGZ	0	6	3bc59RSmOu	Peared Creation	Industrial Bottle Lighting	18	House	6	Home & Office	9	Brown	130	Etsy	0	Dislike
0H2Q1lNwGZ	0	6	Lsf6zKR1u7	Gap	GEAR: Lived-in baseball T-shirt and Pattern Boardshorts	34	Full Outfit	1	Casual	5	Blue	27	Gap	0	Dislike
0H2Q1lNwGZ	0	6	9OBZ9a0c6U	Gap	GEAR: Lived-in Wash Plaid Shirt and 1969 straight fit jeans 	34	Full Outfit	1	Casual	1	Red	50	Gap	0	Dislike
0H2Q1lNwGZ	0	6	2nmp4mN3Dl	Bonobos	Henry Standard Fit Gingham Sport Shirt	1	Shirts	1	Casual	6	Purple	43	Nordstrom	0	Dislike
0H2Q1lNwGZ	0	6	gcvYLlxK5T	Bonobos	Manhanna Gingham Standard Fit Sport Shirt	1	Shirts	1	Casual	5	Blue	57	Nordstrom	0	Dislike
0H2Q1lNwGZ	0	6	jdwERbzzLJ	Trafalgar	 Reed Leather Belt	33	Other Accessories	4	Accessories	9	Brown	48	Nordstrom	0	Dislike
0H2Q1lNwGZ	0	6	2p8hS3xyJ6	Skagen	Round Mesh Strap Watch	13	Watch	4	Accessories	10	Black	165	Nordstrom	0	Dislike
0H2Q1lNwGZ	0	6	WD31S3Vax9	Harman Kardon	Aura Wireless Bluetooth Home Speaker System	20	Speakers	5	Gadgets	10	Black	400	Amazon	1	Like
